"동별","구분별","항목","단위","2024. 1/4","2024. 2/4",
"종로5.6가동","남자","고령자현황(동별)","","4","5",
"종로5.6가동","여자","고령자현황(동별)","","5","5",
"이화동","전체인구","고령자현황(동별)","","7557","7537",
"이화동","남자","고령자현황(동별)","","3520","3483",
"이화동","여자","고령자현황(동별)","","4037","4054",
"이화동","65세이상 인구","고령자현황(동별)","","1383","1392",
"이화동","남자","고령자현황(동별)","","593","595",
"이화동","여자","고령자현황(동별)","","790","797",
"이화동","내국인","고령자현황(동별)","","1373","1382",
"이화동","남자","고령자현황(동별)","","589","591",
"이화동","여자","고령자현황(동별)","","784","791",
"이화동","등록외국인","고령자현황(동별)","","10","10",
"이화동","남자","고령자현황(동별)","","4","4",
"이화동","여자","고령자현황(동별)","","6","6",
"창신1동","전체인구","고령자현황(동별)","","5345","5366",
"창신1동","남자","고령자현황(동별)","","2805","2821",
"창신1동","여자","고령자현황(동별)","","2540","2545",
"창신1동","65세이상 인구","고령자현황(동별)","","1244","1264",
"창신1동","남자","고령자현황(동별)","","607","617",
"창신1동","여자","고령자현황(동별)","","637","647",
"창신1동","내국인","고령자현황(동별)","","1224","1246",
"창신1동","남자","고령자현황(동별)","","598","609",
"창신1동","여자","고령자현황(동별)","","626","637",
"창신1동","등록외국인","고령자현황(동별)","","20","18",
"창신1동","남자","고령자현황(동별)","","9","8",
"창신1동","여자","고령자현황(동별)","","11","10",
"창신2동","전체인구","고령자현황(동별)","","8634","8664",
"창신2동","남자","고령자현황(동별)","","4442","4466",
"창신2동","여자","고령자현황(동별)","","4192","4198",
"창신2동","65세이상 인구","고령자현황(동별)","","1953","1969",
"창신2동","남자","고령자현황(동별)","","889","897",
"창신2동","여자","고령자현황(동별)","","1064","1072",
"창신2동","내국인","고령자현황(동별)","","1902","1917",
"창신2동","남자","고령자현황(동별)","","864","871",
"창신2동","여자","고령자현황(동별)","","1038","1046",
"창신2동","등록외국인","고령자현황(동별)","","51","52",
"창신2동","남자","고령자현황(동별)","","25","26",
"창신2동","여자","고령자현황(동별)","","26","26",
"창신3동","전체인구","고령자현황(동별)","","6532","6533",
"창신3동","남자","고령자현황(동별)","","3225","3221",
"창신3동","여자","고령자현황(동별)","","3307","3312",
"창신3동","65세이상 인구","고령자현황(동별)","","1347","1372",
"창신3동","남자","고령자현황(동별)","","605","613",
"창신3동","여자","고령자현황(동별)","","742","759",
"창신3동","내국인","고령자현황(동별)","","1342","1367",
"창신3동","남자","고령자현황(동별)","","602","610",
"창신3동","여자","고령자현황(동별)","","740","757",
"창신3동","등록외국인","고령자현황(동별)","","5","5",
"창신3동","남자","고령자현황(동별)","","3","3",
"창신3동","여자","고령자현황(동별)","","2","2",
"숭인1동","전체인구","고령자현황(동별)","","6146","6089",
"숭인1동","남자","고령자현황(동별)","","2949","2920",
"숭인1동","여자","고령자현황(동별)","","3197","3169",
"숭인1동","65세이상 인구","고령자현황(동별)","","1307","1321",
"숭인1동","남자","고령자현황(동별)","","562","566",
"숭인1동","여자","고령자현황(동별)","","745","755",
"숭인1동","내국인","고령자현황(동별)","","1300","1313",
"숭인1동","남자","고령자현황(동별)","","558","562",
"숭인1동","여자","고령자현황(동별)","","742","751",
"숭인1동","등록외국인","고령자현황(동별)","","7","8",
"숭인1동","남자","고령자현황(동별)","","4","4",
"숭인1동","여자","고령자현황(동별)","","3","4",
"숭인2동","전체인구","고령자현황(동별)","","10875","11029",
"숭인2동","남자","고령자현황(동별)","","5099","5139",
"숭인2동","여자","고령자현황(동별)","","5776","5890",
"숭인2동","65세이상 인구","고령자현황(동별)","","1799","1803",
"숭인2동","남자","고령자현황(동별)","","894","898",
"숭인2동","여자","고령자현황(동별)","","905","905",
"숭인2동","내국인","고령자현황(동별)","","1781","1785",
"숭인2동","남자","고령자현황(동별)","","886","891",
"숭인2동","여자","고령자현황(동별)","","895","894",
"숭인2동","등록외국인","고령자현황(동별)","","18","18",
"숭인2동","남자","고령자현황(동별)","","8","7",
"숭인2동","여자","고령자현황(동별)","","10","11",
"청운효자동","전체인구","고령자현황(동별)","","11414","11326",
"청운효자동","남자","고령자현황(동별)","","5204","5160",
"청운효자동","여자","고령자현황(동별)","","6210","6166",
"청운효자동","65세이상 인구","고령자현황(동별)","","2209","2222",
"청운효자동","남자","고령자현황(동별)","","916","922",
"청운효자동","여자","고령자현황(동별)","","1293","1300",
"청운효자동","내국인","고령자현황(동별)","","2194","2207",
"청운효자동","남자","고령자현황(동별)","","907","913",
"청운효자동","여자","고령자현황(동별)","","1287","1294",
"청운효자동","등록외국인","고령자현황(동별)","","15","15",
"청운효자동","남자","고령자현황(동별)","","9","9",
"청운효자동","여자","고령자현황(동별)","","6","6",
"혜화동","전체인구","고령자현황(동별)","","19388","19209",
"혜화동","남자","고령자현황(동별)","","8750","8713",
"혜화동","여자","고령자현황(동별)","","10638","10496",
"혜화동","65세이상 인구","고령자현황(동별)","","2726","2740",
"혜화동","남자","고령자현황(동별)","","1156","1158",
"혜화동","여자","고령자현황(동별)","","1570","1582",
"혜화동","내국인","고령자현황(동별)","","2716","2729",
"혜화동","남자","고령자현황(동별)","","1150","1152",
"혜화동","여자","고령자현황(동별)","","1566","1577",
"혜화동","등록외국인","고령자현황(동별)","","10","11",
"혜화동","남자","고령자현황(동별)","","6","6",
"혜화동","여자","고령자현황(동별)","","4","5",
"중구","전체인구","고령자현황(동별)","","131812","131800",
"중구","남자","고령자현황(동별)","","63506","63383",
"중구","여자","고령자현황(동별)","","68306","68417",
"중구","65세이상 인구","고령자현황(동별)","","26302","26516",
"중구","남자","고령자현황(동별)","","11691","11769",
"중구","여자","고령자현황(동별)","","14611","14747",
"중구","내국인","고령자현황(동별)","","25851","26067",
"중구","남자","고령자현황(동별)","","11467","11547",
"중구","여자","고령자현황(동별)","","14384","14520",
"중구","등록외국인","고령자현황(동별)","","451","449",
"중구","남자","고령자현황(동별)","","224","222",
"중구","여자","고령자현황(동별)","","227","227",
"소공동","전체인구","고령자현황(동별)","","3373","3362",
"소공동","남자","고령자현황(동별)","","1668","1662",
"소공동","여자","고령자현황(동별)","","1705","1700",
"소공동","65세이상 인구","고령자현황(동별)","","346","347",
"소공동","남자","고령자현황(동별)","","182","179",
"소공동","여자","고령자현황(동별)","","164","168",
"소공동","내국인","고령자현황(동별)","","286","287",
"소공동","남자","고령자현황(동별)","","142","141",
"소공동","여자","고령자현황(동별)","","144","146",
"소공동","등록외국인","고령자현황(동별)","","60","60",
"소공동","남자","고령자현황(동별)","","40","38",
"소공동","여자","고령자현황(동별)","","20","22",
"회현동","전체인구","고령자현황(동별)","","5011","5012",
"회현동","남자","고령자현황(동별)","","2629","2619",
"회현동","여자","고령자현황(동별)","","2382","2393",
"회현동","65세이상 인구","고령자현황(동별)","","1381","1381",
"회현동","남자","고령자현황(동별)","","718","712",
"회현동","여자","고령자현황(동별)","","663","669",
"회현동","내국인","고령자현황(동별)","","1293","1294",
"회현동","남자","고령자현황(동별)","","673","668",
"회현동","여자","고령자현황(동별)","","620","626",
"회현동","등록외국인","고령자현황(동별)","","88","87",
"회현동","남자","고령자현황(동별)","","45","44",
"회현동","여자","고령자현황(동별)","","43","43",
"명동","전체인구","고령자현황(동별)","","3403","3400",
"명동","남자","고령자현황(동별)","","1483","1490",
"명동","여자","고령자현황(동별)","","1920","1910",
"명동","65세이상 인구","고령자현황(동별)","","771","770",
"명동","남자","고령자현황(동별)","","270","269",
"명동","여자","고령자현황(동별)","","501","501",
"명동","내국인","고령자현황(동별)","","727","724",
"명동","남자","고령자현황(동별)","","247","245",
"명동","여자","고령자현황(동별)","","480","479",
"명동","등록외국인","고령자현황(동별)","","44","46",
"명동","남자","고령자현황(동별)","","23","24",
"명동","여자","고령자현황(동별)","","21","22",
"필동","전체인구","고령자현황(동별)","","5059","5248",
"필동","남자","고령자현황(동별)","","2538","2619",
"필동","여자","고령자현황(동별)","","2521","2629",
"필동","65세이상 인구","고령자현황(동별)","","898","914",
"필동","남자","고령자현황(동별)","","427","435",
"필동","여자","고령자현황(동별)","","471","479",
"필동","내국인","고령자현황(동별)","","890","906",
"필동","남자","고령자현황(동별)","","422","430",
"필동","여자","고령자현황(동별)","","468","476",
"필동","등록외국인","고령자현황(동별)","","8","8",
"필동","남자","고령자현황(동별)","","5","5",
"필동","여자","고령자현황(동별)","","3","3",
"장충동","전체인구","고령자현황(동별)","","5455","5458",
"장충동","남자","고령자현황(동별)","","2793","2787",
"장충동","여자","고령자현황(동별)","","2662","2671",
"장충동","65세이상 인구","고령자현황(동별)","","907","914",
"장충동","남자","고령자현황(동별)","","399","406",
"장충동","여자","고령자현황(동별)","","508","508",
"장충동","내국인","고령자현황(동별)","","890","896",
"장충동","남자","고령자현황(동별)","","391","396",
"장충동","여자","고령자현황(동별)","","499","500",
"장충동","등록외국인","고령자현황(동별)","","17","18",
"장충동","남자","고령자현황(동별)","","8","10",
"장충동","여자","고령자현황(동별)","","9","8",
"광희동","전체인구","고령자현황(동별)","","7116","7070",
"광희동","남자","고령자현황(동별)","","3498","3463",
"광희동","여자","고령자현황(동별)","","3618","3607",
"광희동","65세이상 인구","고령자현황(동별)","","1192","1213",
"광희동","남자","고령자현황(동별)","","580","582",
"광희동","여자","고령자현황(동별)","","612","631",
"광희동","내국인","고령자현황(동별)","","1156","1179",
"광희동","남자","고령자현황(동별)","","564","567",
"광희동","여자","고령자현황(동별)","","592","612",
"광희동","등록외국인","고령자현황(동별)","","36","34",
"광희동","남자","고령자현황(동별)","","16","15",
"광희동","여자","고령자현황(동별)","","20","19",
"을지로동","전체인구","고령자현황(동별)","","3393","3466",
"을지로동","남자","고령자현황(동별)","","1836","1859",
"을지로동","여자","고령자현황(동별)","","1557","1607",
"을지로동","65세이상 인구","고령자현황(동별)","","506","518",
"을지로동","남자","고령자현황(동별)","","303","311",
"을지로동","여자","고령자현황(동별)","","203","207",
"을지로동","내국인","고령자현황(동별)","","495","507",
"을지로동","남자","고령자현황(동별)","","298","306",
"을지로동","여자","고령자현황(동별)","","197","201",
"을지로동","등록외국인","고령자현황(동별)","","11","11",
"을지로동","남자","고령자현황(동별)","","5","5",
"을지로동","여자","고령자현황(동별)","","6","6",
"신당5동","전체인구","고령자현황(동별)","","10511","10521",
"신당5동","남자","고령자현황(동별)","","5060","5063",
"신당5동","여자","고령자현황(동별)","","5451","5458",
"신당5동","65세이상 인구","고령자현황(동별)","","1981","1997",
"신당5동","남자","고령자현황(동별)","","858","868",
"신당5동","여자","고령자현황(동별)","","1123","1129",
"신당5동","내국인","고령자현황(동별)","","1967","1984",
"신당5동","남자","고령자현황(동별)","","851","862",
"신당5동","여자","고령자현황(동별)","","1116","1122",
"신당5동","등록외국인","고령자현황(동별)","","14","13",
"신당5동","남자","고령자현황(동별)","","7","6",
"신당5동","여자","고령자현황(동별)","","7","7",
"황학동","전체인구","고령자현황(동별)","","13638","13711",
"황학동","남자","고령자현황(동별)","","6354","6390",
"황학동","여자","고령자현황(동별)","","7284","7321",
"황학동","65세이상 인구","고령자현황(동별)","","2186","2207",
"황학동","남자","고령자현황(동별)","","941","952",
"황학동","여자","고령자현황(동별)","","1245","1255",
"황학동","내국인","고령자현황(동별)","","2133","2154",
"황학동","남자","고령자현황(동별)","","914","925",
"황학동","여자","고령자현황(동별)","","1219","1229",
"황학동","등록외국인","고령자현황(동별)","","53","53",
"황학동","남자","고령자현황(동별)","","27","27",
"황학동","여자","고령자현황(동별)","","26","26",
"중림동","전체인구","고령자현황(동별)","","12533","12466",
"중림동","남자","고령자현황(동별)","","6129","6068",
"중림동","여자","고령자현황(동별)","","6404","6398",
"중림동","65세이상 인구","고령자현황(동별)","","2239","2242",
"중림동","남자","고령자현황(동별)","","1021","1017",
"중림동","여자","고령자현황(동별)","","1218","1225",
"중림동","내국인","고령자현황(동별)","","2214","2217",
"중림동","남자","고령자현황(동별)","","1012","1008",
"중림동","여자","고령자현황(동별)","","1202","1209",
"중림동","등록외국인","고령자현황(동별)","","25","25",
"중림동","남자","고령자현황(동별)","","9","9",
"중림동","여자","고령자현황(동별)","","16","16",
"신당동","전체인구","고령자현황(동별)","","8888","8888",
"신당동","남자","고령자현황(동별)","","4230","4250",
"신당동","여자","고령자현황(동별)","","4658","4638",
"신당동","65세이상 인구","고령자현황(동별)","","1590","1614",
"신당동","남자","고령자현황(동별)","","733","741",
"신당동","여자","고령자현황(동별)","","857","873",
"신당동","내국인","고령자현황(동별)","","1547","1571",
"신당동","남자","고령자현황(동별)","","714","722",
"신당동","여자","고령자현황(동별)","","833","849",
"신당동","등록외국인","고령자현황(동별)","","43","43",
"신당동","남자","고령자현황(동별)","","19","19",
"신당동","여자","고령자현황(동별)","","24","24",
"다산동","전체인구","고령자현황(동별)","","13698","13625",
"다산동","남자","고령자현황(동별)","","6624","6577",
"다산동","여자","고령자현황(동별)","","7074","7048",
"다산동","65세이상 인구","고령자현황(동별)","","2992","3010",
"다산동","남자","고령자현황(동별)","","1303","1313",
"다산동","여자","고령자현황(동별)","","1689","1697",
"다산동","내국인","고령자현황(동별)","","2976","2994",
"다산동","남자","고령자현황(동별)","","1297","1307",
"다산동","여자","고령자현황(동별)","","1679","1687",
"다산동","등록외국인","고령자현황(동별)","","16","16",
"다산동","남자","고령자현황(동별)","","6","6",
"다산동","여자","고령자현황(동별)","","10","10",
"약수동","전체인구","고령자현황(동별)","","16351","16343",
"약수동","남자","고령자현황(동별)","","7566","7539",
"약수동","여자","고령자현황(동별)","","8785","8804",
"약수동","65세이상 인구","고령자현황(동별)","","4188","4232",
"약수동","남자","고령자현황(동별)","","1729","1751",
"약수동","여자","고령자현황(동별)","","2459","2481",
"약수동","내국인","고령자현황(동별)","","4168","4212",
"약수동","남자","고령자현황(동별)","","1720","1742",
"약수동","여자","고령자현황(동별)","","2448","2470",
"약수동","등록외국인","고령자현황(동별)","","20","20",
"약수동","남자","고령자현황(동별)","","9","9",
"약수동","여자","고령자현황(동별)","","11","11",
"청구동","전체인구","고령자현황(동별)","","13247","13127",
"청구동","남자","고령자현황(동별)","","6227","6159",
"청구동","여자","고령자현황(동별)","","7020","6968",
"청구동","65세이상 인구","고령자현황(동별)","","2993","2988",
"청구동","남자","고령자현황(동별)","","1265","1255",
"청구동","여자","고령자현황(동별)","","1728","1733",
"청구동","내국인","고령자현황(동별)","","2988","2984",
"청구동","남자","고령자현황(동별)","","1264","1254",
"청구동","여자","고령자현황(동별)","","1724","1730",
"청구동","등록외국인","고령자현황(동별)","","5","4",
"청구동","남자","고령자현황(동별)","","1","1",
"청구동","여자","고령자현황(동별)","","4","3",
"동화동","전체인구","고령자현황(동별)","","10136","10103",
"동화동","남자","고령자현황(동별)","","4871","4838",
"동화동","여자","고령자현황(동별)","","5265","5265",
"동화동","65세이상 인구","고령자현황(동별)","","2132","2169",
"동화동","남자","고령자현황(동별)","","962","978",
"동화동","여자","고령자현황(동별)","","1170","1191",
"동화동","내국인","고령자현황(동별)","","2121","2158",
"동화동","남자","고령자현황(동별)","","958","974",
"동화동","여자","고령자현황(동별)","","1163","1184",
"동화동","등록외국인","고령자현황(동별)","","11","11",
"동화동","남자","고령자현황(동별)","","4","4",
"동화동","여자","고령자현황(동별)","","7","7",
"용산구","전체인구","고령자현황(동별)","","223433","219451",
"용산구","남자","고령자현황(동별)","","107837","105752",
"용산구","여자","고령자현황(동별)","","115596","113699",
"용산구","65세이상 인구","고령자현황(동별)","","39671","39021",
"용산구","남자","고령자현황(동별)","","17421","17158",
"용산구","여자","고령자현황(동별)","","22250","21863",
"용산구","내국인","고령자현황(동별)","","39111","38478",
"용산구","남자","고령자현황(동별)","","17107","16852",
"용산구","여자","고령자현황(동별)","","22004","21626",
"용산구","등록외국인","고령자현황(동별)","","560","543",
"용산구","남자","고령자현황(동별)","","314","306",
"용산구","여자","고령자현황(동별)","","246","237",
"후암동","전체인구","고령자현황(동별)","","16386","16412",
"후암동","남자","고령자현황(동별)","","7909","7898",
"후암동","여자","고령자현황(동별)","","8477","8514",
"후암동","65세이상 인구","고령자현황(동별)","","3141","3170",
"후암동","남자","고령자현황(동별)","","1328","1333",
"후암동","여자","고령자현황(동별)","","1813","1837",
"후암동","내국인","고령자현황(동별)","","3105","3135",
"후암동","남자","고령자현황(동별)","","1310","1315",
"후암동","여자","고령자현황(동별)","","1795","1820",
"후암동","등록외국인","고령자현황(동별)","","36","35",
"후암동","남자","고령자현황(동별)","","18","18",
"후암동","여자","고령자현황(동별)","","18","17",
"용산2가동","전체인구","고령자현황(동별)","","10243","10273",
"용산2가동","남자","고령자현황(동별)","","4987","5012",
"용산2가동","여자","고령자현황(동별)","","5256","5261",
"용산2가동","65세이상 인구","고령자현황(동별)","","2127","2135",
"용산2가동","남자","고령자현황(동별)","","899","911",
"용산2가동","여자","고령자현황(동별)","","1228","1224",
"용산2가동","내국인","고령자현황(동별)","","2088","2097",
"용산2가동","남자","고령자현황(동별)","","878","891",
"용산2가동","여자","고령자현황(동별)","","1210","1206",
"용산2가동","등록외국인","고령자현황(동별)","","39","38",
"용산2가동","남자","고령자현황(동별)","","21","20",
"용산2가동","여자","고령자현황(동별)","","18","18",
"남영동","전체인구","고령자현황(동별)","","7301","7334",
"남영동","남자","고령자현황(동별)","","4416","4412",
"남영동","여자","고령자현황(동별)","","2885","2922",
"남영동","65세이상 인구","고령자현황(동별)","","1618","1609",
"남영동","남자","고령자현황(동별)","","999","989",
"남영동","여자","고령자현황(동별)","","619","620",
"남영동","내국인","고령자현황(동별)","","1595","1586",
"남영동","남자","고령자현황(동별)","","990","980",
"남영동","여자","고령자현황(동별)","","605","606",
"남영동","등록외국인","고령자현황(동별)","","23","23",
"남영동","남자","고령자현황(동별)","","9","9",
"남영동","여자","고령자현황(동별)","","14","14",
"원효로2동","전체인구","고령자현황(동별)","","13724","13707",
"원효로2동","남자","고령자현황(동별)","","6438","6433",
"원효로2동","여자","고령자현황(동별)","","7286","7274",
"원효로2동","65세이상 인구","고령자현황(동별)","","2506","2514",
"원효로2동","남자","고령자현황(동별)","","1081","1088",
"원효로2동","여자","고령자현황(동별)","","1425","1426",
"원효로2동","내국인","고령자현황(동별)","","2501","2509",
"원효로2동","남자","고령자현황(동별)","","1079","1086",
"원효로2동","여자","고령자현황(동별)","","1422","1423",
"원효로2동","등록외국인","고령자현황(동별)","","5","5",
"원효로2동","남자","고령자현황(동별)","","2","2",
"원효로2동","여자","고령자현황(동별)","","3","3",
"효창동","전체인구","고령자현황(동별)","","10765","10772",
"효창동","남자","고령자현황(동별)","","5056","5058",
"효창동","여자","고령자현황(동별)","","5709","5714",
"효창동","65세이상 인구","고령자현황(동별)","","1645","1659",
"효창동","남자","고령자현황(동별)","","689","700",
"효창동","여자","고령자현황(동별)","","956","959",
"효창동","내국인","고령자현황(동별)","","1641","1655",
"효창동","남자","고령자현황(동별)","","686","697",
"효창동","여자","고령자현황(동별)","","955","958",
"효창동","등록외국인","고령자현황(동별)","","4","4",
"효창동","남자","고령자현황(동별)","","3","3",
"효창동","여자","고령자현황(동별)","","1","1",
"용문동","전체인구","고령자현황(동별)","","11446","11411",
"용문동","남자","고령자현황(동별)","","5439","5394",
"용문동","여자","고령자현황(동별)","","6007","6017",
"용문동","65세이상 인구","고령자현황(동별)","","2284","2308",
"용문동","남자","고령자현황(동별)","","948","952",
"용문동","여자","고령자현황(동별)","","1336","1356",
"용문동","내국인","고령자현황(동별)","","2277","2301",
"용문동","남자","고령자현황(동별)","","943","947",
"용문동","여자","고령자현황(동별)","","1334","1354",
"용문동","등록외국인","고령자현황(동별)","","7","7",
"용문동","남자","고령자현황(동별)","","5","5",
"용문동","여자","고령자현황(동별)","","2","2",
"이촌1동","전체인구","고령자현황(동별)","","25472","25481",
"이촌1동","남자","고령자현황(동별)","","12013","12010",
"이촌1동","여자","고령자현황(동별)","","13459","13471",
"이촌1동","65세이상 인구","고령자현황(동별)","","4535","4572",
"이촌1동","남자","고령자현황(동별)","","1983","1994",
"이촌1동","여자","고령자현황(동별)","","2552","2578",
"이촌1동","내국인","고령자현황(동별)","","4483","4522",
"이촌1동","남자","고령자현황(동별)","","1949","1960",
"이촌1동","여자","고령자현황(동별)","","2534","2562",
"이촌1동","등록외국인","고령자현황(동별)","","52","50",
"이촌1동","남자","고령자현황(동별)","","34","34",
"이촌1동","여자","고령자현황(동별)","","18","16",
"이촌2동","전체인구","고령자현황(동별)","","7939","7870",
"이촌2동","남자","고령자현황(동별)","","3716","3667",
"이촌2동","여자","고령자현황(동별)","","4223","4203",
"이촌2동","65세이상 인구","고령자현황(동별)","","1874","1853",
"이촌2동","남자","고령자현황(동별)","","786","769",
"이촌2동","여자","고령자현황(동별)","","1088","1084",
